מספר סידורי,מספר פעולות מספר פעולות האיזון הממוצע insert לפעולת,מספר פעולות האיזון הממוצע לפעולת delete,מספר פעולות האיזון המקסימלי insert לפעולת,מספר פעולות האיזון המקסימלי delete לפעולת,
10,100000,3.41448,22,2.73763,12
1,10000,3.3889,16,2.7416,11
2,20000,3.4358,16,2.7369,12
3,30000,3.4186666666666667,17,2.738366666666667,12
4,40000,3.4126,17,2.738925,11
5,50000,3.4022,19,2.73638,13
6,60000,3.4265666666666665,18,2.73975,13
7,70000,3.4160857142857144,18,2.741257142857143,12
8,80000,3.4116125,18,2.7397875,12
9,90000,3.4208,19,2.7390222222222222,13
10,100000,3.41448,22,2.73763,12
